NAME;Verkehr;lng;lat
Riedstadt-Goddelau;RV;8.489187;49.83323
Göppingen;FV;9.651969;48.700027
Göttingen;FV;9.926072;51.536815
Treysa;FV;9.185673;50.910661
Goslar;RV;10.421436;51.911573
Graben-Neudorf;RV;8.49063;49.161797
Grävenwiesbach;nur DPN;8.458553;50.382239
Grevenbroich;RV;6.580447;51.093701
Trier Hbf;FV;6.652453;49.756846
Troisdorf;RV;7.150892;50.813922
Groß Gerau;nur DPN;8.486215;49.924934
Grünstadt;RV;8.167962;49.564384
Haan-Gruiten;RV;7.010546;51.214559
Günzburg;FV;10.2792621;48.4605626
Baunatal-Guntershausen;RV;9.466997;51.229917
Tübingen Hbf;FV;9.055407;48.515811
Hagen Hbf;FV;7.460249;51.362747
Weil am Rhein-Gartenstadt;nur DPN;7.616284;47.588707
Türkheim(Bay)Bf;RV;10.617439;48.04569
Haltern am See;RV;7.184366;51.737668
Weil am Rhein-Pfädlistraße;nur DPN;7.626493;47.589015
Hamburg-Harburg;FV;9.991701;53.455908
Hameln;RV;9.375906;52.10185
Hamm(Westf);FV;7.807821;51.678078
Hanau Hbf;FV;8.929;50.120953
Hannover Hbf;FV;9.741021;52.376761
Türkismühle;RV;7.114615;49.580358
Heide(Holst);FV;9.101029;54.193563
Heidelberg Hbf;FV;8.675442;49.403567
Heilbronn Hbf;FV;9.207715;49.143306
Nidderau;RV;8.880233;50.230826
Helmstedt;FV;11.010553;52.222086
Herbertingen;RV;9.414604;48.063945
Herborn(Dillkr);RV;8.30814;50.684405
Herford;FV;8.663643;52.119609
Tuttlingen;FV;8.798542;47.980579
Herne;RV;7.21783;51.543652
Hervest-Dorsten;nur DPN;6.974167;51.67191
Herzberg(Harz);RV;10.329923;51.643861
Hesepe;nur DPN;7.967599;52.439221
Uelzen;FV;10.553053;52.969781
Hildesheim Hbf;FV;9.953497;52.160626
Ulm Hbf;FV;9.982227;48.399437
Unna;FV;7.692858;51.538982
Höchst(Odenw);nur DPN;8.988549;49.794499
Wunsiedel-Holenbrunn;RV;12.033928;50.051113
Viersen;FV;6.403896;51.254947
Völklingen;RV;6.848156;49.249091
Homburg(Saar)Hbf;FV;7.337035;49.328082
Horb;FV;8.688982;48.441471
Horrem;RV;6.713497;50.916249
Waiblingen;RV;9.299882;48.826124
Husum;FV;9.055026;54.472271
Immendingen;FV;8.729536;47.936007
Ingolstadt Hbf;FV;11.437337;48.744541
Gifhorn;nur DPN;10.545284;52.456155
Iserlohn;RV;7.691608;51.373294
Wallau(Lahn);RV;8.47001;50.922898
Jülich;nur DPN;6.367977;50.919381
Kaiserslautern Hbf;FV;7.768716;49.436137
Kaldenkirchen;RV;6.203225;51.327184
Karlsruhe Hbf;FV;8.402181;48.993515
Wanne-Eickel Hbf;FV;7.165783;51.531256
Kassel Hbf;RV;9.489501;51.31826
Kaufbeuren;FV;10.629496;47.875432
Kaufering;RV;10.854595;48.080835
Warburg(Westf);FV;9.163845;51.492953
Kempten(Allgäu)Hbf;FV;10.31761;47.711745
Kettwig;RV;6.953747;51.363375
Kiel Hbf;FV;10.131976;54.314985
Kirchenlaibach;RV;11.776325;49.869904
Kißlegg;RV;9.881921;47.793533
Weiden(Oberpf);RV;12.153846;49.67049
Kleve;nur DPN;6.146224;51.789734
Koblenz Hbf;FV;7.588345;50.350929
Köln Hbf;FV;6.958729;50.94303
Köln-Ehrenfeld;FV;6.917276;50.951533
Köln-Mülheim;RV;7.013295;50.957986
Korbach Hbf;RV;8.873229;51.278712
Krefeld Hbf;FV;6.569885;51.325717
Krefeld-Oppum;RV;6.61009;51.329749
Kreiensen;FV;9.967798;51.851423
Kreuztal;nur DPN;7.991696;50.956029
Lage(Lippe);nur DPN;8.801199;51.991742
Landau(Pfalz)Hbf;RV;8.126204;49.197741
Landshut(Bay)Hbf;RV;12.13593;48.547492
Weilburg;RV;8.267949;50.486368
Weilheim(Oberbay);FV;11.14286;47.845363
Lauda;RV;9.709512;49.565385
Lauterbach(Hess)Nord;nur DPN;9.408055;50.643606
Leer(Ostfriesl);FV;7.465283;53.23165
Lehrte;RV;9.974599;52.376722
Letmathe;nur DPN;7.618397;51.362838
Lichtenfels;FV;11.059472;50.146452
Limburg(Lahn);RV;8.062342;50.384119
Lindau Hbf;FV;9.680469;47.544341
Wertheim;RV;9.513095;49.762025
Löhne(Westf);RV;8.7135;52.196653
Lollar;RV;8.70174;50.647936
Ludwigsburg;FV;9.18542;48.891862
Ludwigshafen(Rh)Hbf;FV;8.433402;49.477987
Lübeck Hbf;FV;10.669821;53.867547
Lüneburg;FV;10.41989;53.249656
Lünen Hbf;RV;7.529485;51.617129
Mainz Hbf;FV;8.25872;50.001117
Mainz-Bischofsheim;RV;8.35750043;49.9932258
Wesel;RV;6.627134;51.65584
Malsfeld;nur DPN;9.534833;51.097605
Mannheim Hbf;FV;8.468921;49.479354
Westerburg;nur DPN;7.966978;50.557642
Marktredwitz;RV;12.082583;50.004596
Mayen Ost;RV;7.238939;50.329594
Memmingen;FV;10.186853;47.985581
Wiesbaden Hbf;FV;8.243731;50.070791
Witten Hbf;RV;7.329442;51.435544
Minden(Westf);FV;8.934728;52.290138
Mönchengladbach Hbf;FV;6.446111;51.196583
Wörth(Rhein);RV;8.273146;49.045678
Wolfenbüttel;RV;10.532306;52.159126
Rohrbach(Ilm);RV;11.5733457;48.6065535
Worms Hbf;FV;8.356448;49.63494
Mühldorf(Oberbay);RV;12.519638;48.248208
Mülheim(Ruhr)Hbf;FV;6.88651;51.431342
Würzburg Hbf;FV;9.93578;49.801796
München Hbf;FV;11.558335;48.140232
